(Jan 12 2016 00:52:17,   13030 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [128cnt, 7.1"Hg].
(Jan 12 2016 00:53:12,   13084 sec) GpsServices()        GPS almanac is current.
(Jan 12 2016 00:53:12,   13085 sec) GpsServices()        Initiating GPS fix acquisition.
(Jan 12 2016 00:53:43,   13115 sec) gga()                $GPGGA,005300,1430.1361,N,08523.6445,E,6,10,0.9,-4.1,M,-77.4,M,,*46
(Jan 12 2016 00:54:07,   13140 sec) gga()                $GPGGA,005310,1430.1381,N,08523.6391,E,1,10,0.9,-7.6,M,-77.4,M,,*44
(Jan 12 2016 00:54:08,   13140 sec) GpsServices()        Profile 0 GPS fix obtained in 56 seconds.
(Jan 12 2016 00:54:08,   13140 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Jan 12 2016 00:54:08,   13140 sec) GpsServices()        Fix:   85.394  14.502 01/12/2016 005310   10
(Jan 12 2016 00:54:42,   13175 sec) gga()                $GPGGA,005400,1430.1388,N,08523.6255,E,1,10,0.9,-6.3,M,-77.4,M,,*46
(Jan 12 2016 00:54:48,   13181 sec) gga()                $GPGGA,005430,1430.1394,N,08523.6187,E,1,10,0.9,-7.8,M,-77.4,M,,*4E
(Jan 12 2016 00:54:48,   13181 sec) GpsServices()        APF9 RTC skew (18s) OK.
(Jan 12 2016 00:54:49,   13181 sec) LogNmeaSentences()   15,35,175,46,18,11,231,43,20,62,272,47,21,03,284,35*7F
(Jan 12 2016 00:54:49,   13181 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,07,194,38,25,44,271,46,29,27,332,43*45
(Jan 12 2016 00:54:58,   13190 sec) LogNmeaSentences()   $GPRMC,005440,A,1430.1391,N,08523.6159,E,001.2,269.1,120116,001.3,W*62
(Jan 12 2016 00:54:58,   13191 sec) LogNmeaSentences()   $GPGGA,005440,1430.1391,N,08523.6159,E,1,10,0.9,-7.6,M,-77.4,M,,*41
(Jan 12 2016 00:54:59,   13191 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,12,13,15,18,20,,24,25,29,,1.2,0.9,0.8*33
(Jan 12 2016 00:54:59,   13192 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,28,047,42,05,49,020,46,12,48,209,46,13,40,124,46*7B
(Jan 12 2016 00:54:59,   13192 sec) LogNmeaSentences()   $GPGSV,3,2,11,15,35,175,46,18,11,231,44,20,62,272,47,21,03,284,36*7B
(Jan 12 2016 00:55:00,   13192 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,07,194,40,25,44,271,46,29,27,332,44*4D
(Jan 12 2016 00:55:08,   13200 sec) LogNmeaSentences()   $GPRMC,005450,A,1430.1390,N,08523.6133,E,001.4,269.5,120116,001.3,W*6C
(Jan 12 2016 00:55:08,   13201 sec) LogNmeaSentences()   $GPGGA,005450,1430.1390,N,08523.6133,E,1,10,0.9,-7.7,M,-77.4,M,,*4C
(Jan 12 2016 00:55:09,   13201 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,12,13,15,18,20,24,25,29,,,1.2,0.9,0.8*33
(Jan 12 2016 00:55:09,   13202 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,28,047,29,05,49,020,34,12,48,209,36,13,40,124,34*71
(Jan 12 2016 00:55:10,   13202 sec) LogNmeaSentences()   $GPGSV,3,2,11,15,35,175,33,18,11,231,22,20,62,272,34,24,07,194,20*79
(Jan 12 2016 00:55:10,   13202 sec) LogNmeaSentences()   $GPGSV,3,3,11,25,44,271,33,29,27,332,28,21,03,285,00*43
(Jan 12 2016 00:55:18,   13210 sec) LogNmeaSentences()   $GPRMC,005500,A,1430.1395,N,08523.6111,E,000.5,285.2,120116,001.3,W*68
(Jan 12 2016 00:55:18,   13211 sec) LogNmeaSentences()   $GPGGA,005500,1430.1395,N,08523.6111,E,1,10,0.9,-7.7,M,-77.4,M,,*4D
(Jan 12 2016 00:55:19,   13211 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,12,13,15,18,20,,24,25,29,,1.2,0.9,0.8*33
(Jan 12 2016 00:55:19,   13212 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,28,047,43,05,49,020,47,12,47,209,47,13,41,123,45*70
(Jan 12 2016 00:55:20,   13212 sec) LogNmeaSentences()   $GPGSV,3,2,11,15,35,175,48,18,11,231,43,20,62,272,47,21,03,284,33*77
(Jan 12 2016 00:55:20,   13212 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,07,194,41,25,44,271,44,29,27,332,43*49
(Jan 12 2016 00:55:20,   13213 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.90,,,,,,,,*7D
(Jan 12 2016 00:55:20,   13213 sec) GpsServices()        GPS services complete.
(Jan 12 2016 00:55:53,   13246 sec) CLogin()             Connecting to primary host.
(Jan 12 2016 00:56:06,   13258 sec) CLogin()             Connection 1 established in 13 seconds.
(Jan 12 2016 00:56:14,   13266 sec) login()              Login successful.
(Jan 12 2016 00:56:17,   13270 sec) CLogin()             Logged in to host.  [Login required 11 seconds]
(Jan 12 2016 00:56:25,   13278 sec) RxConfig()           Downloading "mission.cfg" from host.
(Jan 12 2016 00:56:28,   13280 sec) Rx()                 Initiating transfer. [0x43]
(Jan 12 2016 00:56:33,   13286 sec) Rx()                 Pad character [0x1a] found in ascii mode - truncating packet.
(Jan 12 2016 00:56:38,   13290 sec) Rx()                 Received EOT - transfer complete. [1 packets, 1024 bytes, 11 sec, 93.1 bps]
(Jan 12 2016 00:56:38,   13290 sec) RxConfig()           Download successful.
(Jan 12 2016 00:56:52,   13304 sec) WriteVitals()        Writing vitals to "7546.1601120052".
(Jan 12 2016 00:56:56,   13308 sec) UpLoadFile()         Uploading "7546.1601120030.log" to host as "7546.1601120030.log".
(Jan 12 2016 00:56:58,   13311 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Jan 12 2016 00:57:22,   13334 sec) TxPacket()           NAK received - resending packet. [PktNum=0x04]
(Jan 12 2016 00:57:22,   13334 sec) TxPacket()           Packet xmit history: [10000001] (0:ok, 1:fail).
(Jan 12 2016 00:58:07,   13379 sec) Tx()                 Transmission completed successfully [11 packets, 10242 bytes, 68 sec, 165.6 bps]
(Jan 12 2016 00:58:07,   13379 sec) UpLoadFile()         Upload successful.
(Jan 12 2016 00:58:10,   13382 sec) UpLoadFile()         Uploading "7546.1601120052" to host as "7546.1601120052".
(Jan 12 2016 00:58:12,   13385 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Jan 12 2016 00:58:23,   13395 sec) Tx()                 Transmission completed successfully [1 packets, 700 bytes, 10 sec, 102.4 bps]
(Jan 12 2016 00:58:23,   13395 sec) UpLoadFile()         Upload successful.
(Jan 12 2016 00:58:29,   13401 sec) UpLoad()             Files successfully uploaded: 2
(Jan 12 2016 00:58:29,   13401 sec) UpLoad()             Upload complete.
(Jan 12 2016 00:58:33,   13406 sec) logout()             Log-out successful.
(Jan 12 2016 00:58:34,   13407 sec) Telemetry()          Telemetry cycle complete: PrfId=0 ConnectionAttempts=1  Connections=1
(Jan 12 2016 00:58:36,   13408 sec) configure()          Parsing configurators in "mission.cfg".
(Jan 12 2016 00:58:40,   13412 sec) configure()             TelemetryRetry(15)      [0x7BBC] [TelemetryRetry(15)].
(Jan 12 2016 00:58:40,   13413 sec) configure()          Configuration CRCs and syntax OK.
(Jan 12 2016 00:58:40,   13413 sec) ConfigSupervisor()   Configuration accepted.
(Jan 12 2016 01:13:48,   14321 sec) Prelude()            Logging configuration and initiating telemetry.
(Jan 12 2016 01:13:48,   14321 sec) LogConfiguration()   Mission configuration for Apf9i FwRev 012811:
(Jan 12 2016 01:13:48,   14321 sec) LogConfiguration()      AscentTimeOut(540) [min]
